n,Yes,No,609794
12/03/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,"Seterus, Inc.",OR,97006,,,Web,12/03/2013,Closed with explanation,Yes,No,619383
12/26/2013,Debt collection,Credit card,Communication tactics,Called outside of 8am-9pm,,,FirstPoint Collection Resources,CA,94541,,,Web,01/02/2014,Closed with explanation,Yes,No,646186
12/26/2013,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,Ocwen,TX,78626,,,Web,01/06/2014,Closed with explanation,Yes,No,644390
12/10/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,,,"The CBE Group, Inc.",PA,19137,,,Web,12/17/2013,Closed with non-monetary relief,Yes,No,628028
01/14/2014,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,,,Bank of America,MI,49234,,,Web,01/14/2014,Closed with explanation,Yes,No,668035
01/07/2014,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,IN,46815,,,Web,01/06/2014,Closed with explanation,Yes,No,657181
01/07/2014,Payday loan,Payday loan,Charged fees or interest I didn't expect,Charged fees or interest I didn't expect,,,Delbert Services,RI,02908,,,Web,01/08/2014,Closed with explanation,Yes,No,657066
11/22/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"Expert Global Solutions, Inc.",CA,95961,,,Phone,11/25/2013,Closed with explanation,Yes,No,609184
12/18/2013,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,"Weltman, Weinberg & Reis",OH,44709,,,Web,12/18/2013,Closed with explanation,Yes,No,652045
01/07/2014,Bank account or service,Checking account,Deposits and withdrawals,,,,KeyBank NA,NY,13492,,,Referral,01/08/2014,Closed with monetary relief,Yes,No,657349
11/15/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Capital One,CT,06451,,,Web,12/02/2013,Closed with explanation,Yes,Yes,599612
11/15/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Experian,MO,65616,Servicemember,,Postal mail,12/09/2013,Closed with non-monetary relief,Yes,Yes,599610
11/15/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,MO,65616,Servicemember,,Postal mail,12/11/2013,Closed with non-monetary relief,Yes,Yes,599611
12/10/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,,Encore Capital Group,TX,78041,,,Postal mail,12/13/2013,Closed with non-monetary relief,Yes,No,629245
12/26/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,CA,95106,Servicemember,,Web,12/26/2013,Closed with explanation,Yes,No,646188
12/26/2013,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,,,Equifax,CA,95841,,,Web,12/26/2013,Closed with non-monetary relief,Yes,No,646189
